run_id,a,r0,theta0,Fl,Fh
208.0,0.385714,0.79,1.39626,0.5,2.579
209.0,0.385714,0.8,1.22173,0.5,4.8559999
210.0,0.385714,0.8,1.24666,0.5,4.5184999
211.0,0.385714,0.8,1.2716,0.5,4.1630001
212.0,0.385714,0.8,1.29653,0.5,3.7490001
213.0,0.385714,0.8,1.32146,0.5,3.2720001
214.0,0.385714,0.8,1.3464,0.5,1.9715
215.0,0.385714,0.8,1.37133,0.5,2.039
216.0,0.385714,0.8,1.39626,0.5,2.858
217.0,0.385714,0.81,1.22173,0.5,3.5734999
218.0,0.385714,0.81,1.24666,0.5,3.569
219.0,0.385714,0.81,1.2716,0.5,3.47
220.0,0.385714,0.81,1.29653,0.5,3.0515001
221.0,0.385714,0.81,1.32146,0.5,2.2820001
222.0,0.385714,0.81,1.3464,0.5,3.4024999
223.0,0.385714,0.81,1.37133,0.5,2.8894999
224.0,0.385714,0.81,1.39626,0.5,2.21
225.0,0.385714,0.82,1.22173,0.5,3.0109999
226.0,0.385714,0.82,1.24666,0.5,2.2774999
227.0,0.385714,0.82,1.2716,0.5,4.8425002
228.0,0.385714,0.82,1.29653,0.5,4.5095
229.0,0.385714,0.82,1.32146,0.5,4.1945
230.0,0.385714,0.82,1.3464,0.5,3.839
231.0,0.385714,0.82,1.37133,0.5,3.425
232.0,0.385714,0.82,1.39626,0.5,2.9435
233.0,0.385714,0.83,1.22173,0.5,3.677
234.0,0.385714,0.83,1.24666,0.5,4.5365
235.0,0.385714,0.83,1.2716,0.5,5.0
236.0,0.385714,0.83,1.29653,0.5,4.802
237.0,0.385714,0.83,1.32146,0.5,4.487
238.0,0.385714,0.83,1.3464,0.5,2.0434999
239.0,0.385714,0.83,1.37133,0.5,2.2685001
240.0,0.385714,0.83,1.39626,0.5,2.4755001
241.0,0.385714,0.84,1.22173,0.5,3.7895
242.0,0.385714,0.84,1.24666,0.5,3.7130001
243.0,0.385714,0.84,1.2716,0.5,4.4330001
244.0,0.385714,0.84,1.29653,0.5,4.9864998
245.0,0.385714,0.84,1.32146,0.5,4.8154998
246.0,0.385714,0.84,1.3464,0.5,4.5139999
247.0,0.385714,0.84,1.37133,0.5,4.217
248.0,0.385714,0.84,1.39626,0.5,3.875
249.0,0.385714,0.85,1.22173,0.5,2.2595
250.0,0.385714,0.85,1.24666,0.5,2.2279999
251.0,0.385714,0.85,1.2716,0.5,2.2595
252.0,0.385714,0.85,1.29653,0.5,2.2414999
253.0,0.385714,0.85,1.32146,0.5,2.1965001
254.0,0.385714,0.85,1.3464,0.5,2.273
255.0,0.385714,0.85,1.37133,0.5,2.2595
256.0,0.385714,0.85,1.39626,0.5,2.2505
257.0,0.414286,0.78,1.22173,0.5,5.0
258.0,0.414286,0.78,1.24666,0.5,4.7659998
259.0,0.414286,0.78,1.2716,0.5,3.6185
260.0,0.414286,0.78,1.29653,0.5,4.4105
261.0,0.414286,0.78,1.32146,0.5,3.9784999
262.0,0.414286,0.78,1.3464,0.5,3.4744999
263.0,0.414286,0.78,1.37133,0.5,2.8355
264.0,0.414286,0.78,1.39626,0.5,2.0885
265.0,0.414286,0.79,1.22173,0.5,4.073
266.0,0.414286,0.79,1.24666,0.5,4.1539998
267.0,0.414286,0.79,1.2716,0.5,4.2665
268.0,0.414286,0.79,1.29653,0.5,3.9920001
269.0,0.414286,0.79,1.32146,0.5,2.2595
270.0,0.414286,0.79,1.3464,0.5,4.0415001
271.0,0.414286,0.79,1.37133,0.5,3.5420001
272.0,0.414286,0.79,1.39626,0.5,2.948
273.0,0.414286,0.8,1.22173,0.5,4.5454998
274.0,0.414286,0.8,1.24666,0.5,5.0
275.0,0.414286,0.8,1.2716,0.5,5.0
276.0,0.414286,0.8,1.29653,0.5,5.0
277.0,0.414286,0.8,1.32146,0.5,4.3024998
278.0,0.414286,0.8,1.3464,0.5,2.849
279.0,0.414286,0.8,1.37133,0.5,4.0774999
280.0,0.414286,0.8,1.39626,0.5,3.6140001
281.0,0.414286,0.81,1.22173,0.5,4.4060001
282.0,0.414286,0.81,1.24666,0.5,4.5005002
283.0,0.414286,0.81,1.2716,0.5,4.5904999
284.0,0.414286,0.81,1.29653,0.5,4.9549999
285.0,0.414286,0.81,1.32146,0.5,4.9819999
286.0,0.414286,0.81,1.3464,0.5,4.7705002
287.0,0.414286,0.81,1.37133,0.5,3.0829999
288.0,0.414286,0.81,1.39626,0.5,4.0640001
289.0,0.414286,0.82,1.22173,0.5,4.2529998
290.0,0.414286,0.82,1.24666,0.5,4.289
291.0,0.414286,0.82,1.2716,0.5,4.316
292.0,0.414286,0.82,1.29653,0.5,4.3295002
293.0,0.414286,0.82,1.32146,0.5,4.3610001
294.0,0.414286,0.82,1.3464,0.5,4.388
295.0,0.414286,0.82,1.37133,0.5,4.4105
296.0,0.414286,0.82,1.39626,0.5,3.4475
297.0,0.414286,0.83,1.22173,0.5,3.9784999
298.0,0.414286,0.83,1.24666,0.5,3.9605
