" 3D Run ID","a","r0","theta0"
"181","0.357143","0.84","1.32146"
"182","0.357143","0.84","1.3464"
"183","0.357143","0.84","1.37133"
"184","0.357143","0.84","1.39626"
"185","0.357143","0.85","1.22173"
"186","0.357143","0.85","1.24666"
"187","0.357143","0.85","1.2716"
"188","0.357143","0.85","1.29653"
"189","0.357143","0.85","1.32146"
"190","0.357143","0.85","1.3464"
"191","0.357143","0.85","1.37133"
"192","0.357143","0.85","1.39626"
"193","0.385714","0.78","1.22173"
"194","0.385714","0.78","1.24666"
"195","0.385714","0.78","1.2716"
"196","0.385714","0.78","1.29653"
"197","0.385714","0.78","1.32146"
"198","0.385714","0.78","1.3464"
"199","0.385714","0.78","1.37133"
"200","0.385714","0.78","1.39626"
"201","0.385714","0.79","1.22173"
"202","0.385714","0.79","1.24666"
"203","0.385714","0.79","1.2716"
"204","0.385714","0.79","1.29653"
"205","0.385714","0.79","1.32146"
"206","0.385714","0.79","1.3464"
"207","0.385714","0.79","1.37133"
"208","0.385714","0.79","1.39626"
"209","0.385714","0.8","1.22173"
"210","0.385714","0.8","1.24666"
"211","0.385714","0.8","1.2716"
"212","0.385714","0.8","1.29653"
"213","0.385714","0.8","1.32146"
"214","0.385714","0.8","1.3464"
"215","0.385714","0.8","1.37133"
"216","0.385714","0.8","1.39626"
"217","0.385714","0.81","1.22173"
"218","0.385714","0.81","1.24666"
"219","0.385714","0.81","1.2716"
"220","0.385714","0.81","1.29653"
"221","0.385714","0.81","1.32146"
"222","0.385714","0.81","1.3464"
"223","0.385714","0.81","1.37133"
"224","0.385714","0.81","1.39626"
"225","0.385714","0.82","1.22173"
"226","0.385714","0.82","1.24666"
"227","0.385714","0.82","1.2716"
"228","0.385714","0.82","1.29653"
"229","0.385714","0.82","1.32146"
"230","0.385714","0.82","1.3464"
"231","0.385714","0.82","1.37133"
"232","0.385714","0.82","1.39626"
"233","0.385714","0.83","1.22173"
"234","0.385714","0.83","1.24666"
"235","0.385714","0.83","1.2716"
"236","0.385714","0.83","1.29653"
"237","0.385714","0.83","1.32146"
"238","0.385714","0.83","1.3464"
"239","0.385714","0.83","1.37133"
"240","0.385714","0.83","1.39626"
